dspace field name,element name,mandatory?,element description,element guidance,element link for more information,idss element cluster,idss schema module,element options,element source,element type,element link for dublin core attributes
is.certifiedOrganization.role,"Certificate holder, owner or certified organization role",,The role(s) an organzation plays in a supply chain,ITC database,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",MULTI Select from control list,ITC,CONTROLLED VALUE,
is.certifiedOrganization.streetName,"Certificate holder, owner or certified organization street name",,Full street name and number of an address,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedOrganization.url,"Certificate holder, owner or certified organization website url",,URL of the organization,,,CERTIFICATION,"Certificate Holder, Owner or Certified organization",SINGLE VALUE ONLY,ISEAL,URL,
is.certifiedSite.adminArea,Certified site admin area,,Area in hectares,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.analysisArea,Certified site analysis area,,Area in hectares,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.area,Certified site area,,"Total area certified (in hectares). For a group certificate, this would be the sum of the area of all certified farms in the certificate.",,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.siteID,Certified site ID,,Certified site ID code,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.latLong,Certified site latitude and longitude location coordinates,,Latitude and longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,"Example of a latitude/longitude coordinate pair in Bolivia: -16.9013, -62.0244",,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedSite.coordDetail,Certified site latitude and longitude location coordinates detail,,Specific details on the coordinates and how collected/measured,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,CONTROLLED VALUE,
is.certifiedSite.lat,Certified site latitude location coordinate,,Latitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a latitude coordinate in Bolivia: -16.9013,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedSite.locationName,Certified site location name,,The normal name used to describe the location,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.long,Certified site longitude location coordinate,,Longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a longitude coordinate in Bolivia: -62.0244,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.certifiedSite.naturalSetAside,Certified site natural ecosystem set-aside,,Area in hectares,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.productionArea,Certified site production area,,Area in hectares,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifiedSite.restorationSetAside,Certified site restoration set-aside,,Area in hectares,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certificate.sites,Certified sites number covered by the certificate,,The number of individual sites covered by a certificate,,,CERTIFICATION,Certified Resource or Site,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.certifyingBody.accreditationEndDate,Certifying body accreditation end date,,Date when a body's accreditation begins,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,DATE,
is.certifyingBody.accreditationStartDate,Certifying body accreditation start date,,Date when a body's accreditation ends,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,DATE,
is.certifyingBody.accreditationStatus,Certifying body accreditation status,,,Select from control list,,CERTIFICATION,Certifying Body,SINGLE SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.accreditedGeoScope,Certifying body accredited geographic scope,,Countries the body is certified to work in. Terms should be in ISO 3166-1 format.,Select from control list,,CERTIFICATION,Certifying Body,MULTI SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.accreditedTechScope,Certifying body accredited technical scope,,,Select from control list,,CERTIFICATION,Certifying Body,MULTI SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.accreditedTechScopeType,Certifying body accredited technical scope type,,,Select from control list,,CERTIFICATION,Certifying Body,MULTI SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.asiCode,Certifying body ASI accreditation code,,,Select from control list,https://www.asi-assurance.org/s/find-a-cab,CERTIFICATION,Certifying Body,SINGLE SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.city,Certifying body city,,Complete name of a city or town in an address,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,FREE VALUE,
is.certifyingBody.country,Certifying body country,,Full country name. Terms should be in ISO 3166-1 format.,Select from control list,,CERTIFICATION,Certifying Body,SINGLE SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.email,Certifying body email address,,Email address of an organization,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,FREE VALUE,
is.certifyingBody.addressLatLong,Certifying body latitude and longitude location coordinates,,Latitude and longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,"Example of a latitude/longitude coordinate pair in Bolivia: -16.9013, -62.0244",,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,GEO VALUE,
is.certifyingBody.addressLat,Certifying body latitude location coordinate,,Latitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a latitude coordinate in Bolivia: -16.9013,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,GEO VALUE,
is.certifyingBody.addressLong,Certifying body longitude location coordinate,,Longitude location coordinates in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.,Example of a longitude coordinate in Bolivia: -62.0244,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,GEO VALUE,
is.certifyingBody.name,Certifying body name,,Entity assuring/assessing the status and performance of a certificate holder/owner,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,CONTROLLED VALUE,
is.certifyingBody.phoneCountryCode,Certifying body phone country code,,International subscriber dialing (ISD) codes,,https://en.wikipedia.org/wiki/List_of_country_calling_codes,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,NUMERIC VALUE,
is.certifyingBody.phoneNumber,Certifying body phone number,,Official contact phone number of the organization - without country code,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,NUMERIC VALUE,
is.certifyingBody.postcode,Certifying body postcode,,Full postcode of an address,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,FREE VALUE,
is.certifyingBody.schemeAccredited,Certifying body program or scheme accredited for,,Scheme names the body is certified for,Select from control list,,CERTIFICATION,Certifying Body,MULTI SELECT FROM CONTROL LIST,ASI,CONTROLLED VALUE,
is.certifyingBody.standardAccredited,Certifying body standards accredited for,,standards a body is accredited for - identify the official standard IDs,,,CERTIFICATION,Certifying Body,REPEAT VALUES,ASI,FREE VALUE,
is.certifyingBody.standardCertified,Certifying body standards certified for,,standards a body can certify for - identify the official standard IDs,,,CERTIFICATION,Certifying Body,REPEAT VALUES,ASI,FREE VALUE,
is.certifyingBody.streetName,Certifying body street name,,Full street name and number of an address,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,FREE VALUE,
is.certifyingBody.url,Certifying body website url,,URL of the organization,,,CERTIFICATION,Certifying Body,SINGLE VALUE ONLY,ASI,URL,
is.coverage.countryAlpha2,Country ISO code,,Country code. Terms should be in ISO 3166-1 Alpha 2 format.,Select from control list,https://www.iso.org/obp/ui/#search/code/,GLOBAL,Coverage,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.coverage.country,Country name,,Full country name. Terms should be in ISO 3166-1 format.,Select from control list,https://www.iso.org/obp/ui/#search/code/,GLOBAL,Coverage,MULTI SELECT FROM CONTROL LIST,dublin core,CONTROLLED VALUE,
is.coverage.geographicLevel,Geographic level,,Level of geographic focus or coverage,Select from control list,,GLOBAL,Coverage,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.coverage.latLong,Latitude and longitude location coordinates for the resource or its focus,,"Use for polygons, shapes, study sites etc. Longitude location coordinates should be recorded in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.","Example of a latitude/longitude in Bolivia: -16.9013, -62.0244",,GLOBAL,Coverage,REPEAT VALUES,ISEAL,GEO VALUE,
is.coverage.latitude,Latitude location coordinate for the resource or its focus,,"Use for polygons, shapes, study sites etc. Latitude location coordinates should be recorded in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.",Example of a latitude in Bolivia: -16.9013,,GLOBAL,Coverage,SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.coverage.longitude,Longitude location coordinate for the resource or its focus,,"Use for polygons, shapes, study sites etc. Longitude location coordinates should be recorded in decimal degrees (DD). Recording 4 digits to the right of the decimal provides an accuracy of 10m.",Example of a longitude in Bolivia: -62.0244,,GLOBAL,Coverage,SINGLE VALUE ONLY,ISEAL,GEO VALUE,
is.coverage.place,Place name,,"Name(s) of specific places, sites, towns, cities, districts, etc. that the resource is about",,,GLOBAL,Coverage,REPEAT VALUES,ISEAL,GEO VALUE,
is.coverage.region,Region name,,Region where data was collected or the focus of the research described in the information product. Terms should be in UN M.49 format.,Select from control list,https://unstats.un.org/unsd/methodology/m49/,GLOBAL,Coverage,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
dcterms.type,Type,MANDATORY,"The nature, type or genre of the resource",Select from control list,,GLOBAL,Form,SINGLE SELECT FROM CONTROL LIST,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/type/
dcterms.abstract,Abstract,,A narrative summary of the resource.,,,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/abstract/
dcterms.accessRights,Access rights,,Information about rights held in and over the resource.,"Indicate whether the resource is confidential (and limited access), restricted (and limited access) or public (limited access or open access)",,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/accessRights/
dcterms.audience,Audience,,A class of entity for whom the resource is intended or useful,Select from control list,,GLOBAL,Form,REPEAT VALUES,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/audience/
is.availability.fullText,Availability,,Indicate if the complete resource is available for use,Select from control list,,GLOBAL,Form,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
dcterms.bibliographicCitation,Citation,,Include sufficient bibliographic detail to identify the resource as unambiguously as possible.,consistent style recommended,,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/bibliographicCitation/
is.identifier.doi,DOI,,Digital object identifier - usually for articles and books/chapters,,https://www.doi.org/,GLOBAL,Form,REPEAT VALUES,ISEAL,URL,
dcterms.extent,Extent,,The size or duration of the resource; Usually the total pages or other dimensions,,,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/extent/
dcterms.format,Format,,The file format or physical medium of the resource,Select from control list,https://en.wikipedia.org/wiki/List_of_file_formats,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/format/
is.identifier.ID,ID,,Any ID associated with the item or resource.,Use other elements for ISBN or DOI,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.identifier.isbn,ISBN,,International standard book number,,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
dcterms.language,Language ISO code,,A language of the resource. Terms should be in lower case ISO 639-1 (aka Alpha 2) format.,Select from control list,https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes,GLOBAL,Form,SINGLE SELECT FROM CONTROL LIST,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/language/
is.language,Language name,,Popular name for the language of the resource,Select from control list,,GLOBAL,Form,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.link.url,Link to a URL,,An internet link to any other associated item,"Try to always link to any standard and permament identifier (eg, not a PDF)",,GLOBAL,Form,REPEAT VALUES,ISEAL,URL,
is.link.image,"Link to an image, photo or other multimedia",,An internet link to an associated image,,,GLOBAL,Form,REPEAT VALUES,ISEAL,URL,
dcterms.description,Notes,,An account of the resource,Any additional information about the resource not covered in any other element,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.extent.number,Number,,"Journal article issue number, series number, or any other identifying number",,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.extent.pages,Pagination,,Start/end pagination of a journal article or chapter,,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
dc.identifier.uri,Uniform Resource Identifier,,"Usually assigned by a repository, eg a handle address in a DSpace repository",Note: using legacy “dc” namespace due to limitations with the DSpace institutional repository software.,,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,URL,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/identifier/
dcterms.rightsHolder,Usage license holder,,A person or organization owning or managing rights over a resource.,License holder of the resource,,GLOBAL,Form,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/rightsHolder/
dcterms.license,Usage rights license,,A legal document giving official permission to do something with a resource,"Normally the type of license, indicated by a short name/code - Select from control list",,GLOBAL,Form,SINGLE SELECT FROM CONTROL LIST,dublin core,CONTROLLED VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/license/
is.extent.volume,Volume number,,Journal article volume number,,,GLOBAL,Form,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
dc.contributor.author,Authors,MANDATORY,Persons or organizations intellectually responsible for the content of the resource.,Consistent style recommended. Use resources like ORCID or ROR. Note: using legacy “dc” namespace due to limitations with the DSpace institutional repository software.,https://orcid.org; https://ror.org/,GLOBAL,Provenance,REPEAT VALUES,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/contributor/||https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/creator/
is.contributor.member,ISEAL member contributor,MANDATORY,Association with an ISEAL member organization or scheme,Select from control list,,GLOBAL,Provenance,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
dcterms.publisher,Publisher,MANDATORY,An entity responsible for making the resource available.,Usually the name of an organization. Use resources like ROR.,https://ror.org/,GLOBAL,Provenance,REPEAT VALUES,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/publisher/
dc.title,Title,MANDATORY,Full official name given to a resource,Note: using legacy “dc” namespace due to limitations with the DSpace institutional repository software.,,GLOBAL,Provenance,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/title/
is.author.orcid,Author ORCID identifier,,ORCID identifier of individuals,Assign for each author,https://orcid.org,GLOBAL,Provenance,REPEAT VALUES,ISEAL,FREE VALUE,
is.contact.email,Contact email,,Email address of an organization or person that can be contacted about the resource,Avoid addresses that are short-lived; check permission first,,GLOBAL,Provenance,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.contact.name,Contact name,,Name of an organization or person that can be contacted about the resource,Avoid links that are short-lived; check permission first,,GLOBAL,Provenance,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.contributor.funder,Funding source name,,Full name(s) of funders/investors that sponsored the resource,Usually the full name of an organization. Use resources like ROR.,https://ror.org/,GLOBAL,Provenance,REPEAT VALUES,dublin core,FREE VALUE,
is.contributor.funderType,Funding source type,,An agreed typology of funder types,Select from control list,,GLOBAL,Provenance,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.journalName,Journal name,,Journal full name in its original language,,,GLOBAL,Provenance,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
is.organization.bluenumber,Organization Bluenumber ID,,,,https://bluenumber.org/,GLOBAL,Provenance,REPEAT VALUES,ISEAL,FREE VALUE,
is.organization.ror,Organization ROR ID,,ROR ID for an organization,Assign for resources associated to organizations,https://ror.org/,GLOBAL,Provenance,REPEAT VALUES,ISEAL,FREE VALUE,
dcterms.alternative,Other titles,,Alternative name for the resource,"eg, the title another language; Only if explicitly mentioned on the resource",,GLOBAL,Provenance,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/alternative/
is.item.publicationPlace,Publication place,,"City, country",,,GLOBAL,Provenance,SINGLE VALUE ONLY,ISEAL,FREE VALUE,
dcterms.isPartOf,Series name,,A related resource or series of resources in which the described resource is physically or logically included.,Only if explicitly mentioned on the resource,,GLOBAL,Provenance,SINGLE VALUE ONLY,dublin core,FREE VALUE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/isPartOf/
is.identifier.clause,ISEAL code clause number,,Associated specific clause(s) from an ISEAL code of practice,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.identifier.code,ISEAL code name,,Associated ISEAL code(s) of practice,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.delta.sustainIndicator,ISEAL Delta project sustainability indicator,,"Farm-level, outcome/impact indicators across the social, economic and environmental dimensions of sustainability",Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.focus.strategyPillar,ISEAL strategic pillar,,,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.focus.systemElement,ISEAL system element,,,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.focus.products,Product focus,,Certified commodites or products,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.focus.sdg,SDG focus,,Association to sustainable development goal(s),Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.focus.sectors,Sector focus,,Sectors that the resource covers,Select from control list,https://www.oecd.org/dac/financing-sustainable-development/development-finance-standards/dacandcrscodelists.htm,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.identifier.standardCode,Standard ID or code,,An official code describing a standard,"For example ""FSC-DIR-40-004"".",,GLOBAL,Scope,REPEAT VALUES,ISEAL,FREE VALUE,
dcterms.subject,Subject focus,,Keywords that help to describe the resource content or coverage. The topic of the resource. Normally Select from control list,,,GLOBAL,Scope,REPEAT VALUES,dublin core,FREE VALUE,
is.focus.sustainLens,Sustainability cross-cutting lens,,,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.focus.sustainDimension,Sustainability dimension,,The primary sustainability focus of the the resource,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.focus.sustainIssue,Sustainability issue,,Specific sustainability issue(s) covered in the resource,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.focus.sustainOutcome,Sustainability outcome,,Specific sustainability outcome(s) covered in the resource,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,Evidensia,CONTROLLED VALUE,
is.identifier.schemeName,Sustainability scheme name,,Name of certification scheme or body associated with the resource,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
is.identifier.schemeType,Sustainability scheme type,,The approach that best characterizes the sustainability scheme covered by the resource,Select from control list,,GLOBAL,Scope,MULTI SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
dcterms.issued,Date issued or published,MANDATORY,"Date of formal issuance (e.g., publication) of the resource.","Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/issued/
is.item.status,Status,MANDATORY,The stage the resource has reached,Select from control list,,GLOBAL,Status,SINGLE SELECT FROM CONTROL LIST,ISEAL,CONTROLLED VALUE,
dc.date.accessioned,Date accessioned by system,,Date a system takes possession of item.,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible. Note: using legacy “dc” namespace due to limitations with the DSpace institutional repository software.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,
dc.date.available,Date available through a system,,Date or date range item became available to the public.,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible. Note: using legacy “dc” namespace due to limitations with the DSpace institutional repository software.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/available/
dcterms.modified,Date changed,,Date when the resource was changed.,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,ISEAL,DATE,
dcterms.created,Date created,,Date of creation of the resource.,"Date in YYYY-MM-DD format. At the very least you must enter the year, but month and day is better if possible.",,GLOBAL,Status,SINGLE VALUE ONLY,dublin core,DATE,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/created/
